ん,n,a
わ,wa,a
ら,ra,a
や,ya,a
ま,ma,a
は,ha,a
な,na,a
た,ta,a
さ,sa,a
か,ka,a
あ,a,a
い,i,i
き,ki,i
し,shi,i
ち,chi,i
に,ni,i
ひ,hi,i
み,mi,i
り,ri,i
ゐ,wi,i
